Date,Open,High,Low,Close,Volume
2016-01-26,1878.79,1906.73,1878.79,1903.63,695956044
2016-01-27,1902.52,1916.99,1872.7,1882.95,801306427
2016-01-28,1885.22,1902.96,1873.65,1893.36,820296447
2016-01-29,1894,1940.24,1894,1940.24,144609311
2016-02-01,1936.94,1947.2,1920.3,1939.38,714148314
2016-02-02,1935.26,1935.26,1897.29,1903.03,788015916
2016-02-03,1907.07,1918.01,1872.23,1912.53,893685485
2016-02-04,1911.67,1927.35,1900.52,1915.45,865531792
2016-02-05,1913.07,1913.07,1872.65,1880.05,866331912
2016-02-08,1873.25,1873.25,1828.46,1853.44,1012893978
2016-02-09,1848.46,1868.25,1834.94,1852.21,847335260
2016-02-10,1857.1,1881.6,1850.32,1851.86,765063599
2016-02-11,1847,1847,1810.1,1829.08,959312839
2016-02-12,1833.4,1864.78,1833.4,1864.78,803669163
2016-02-16,1871.44,1895.77,1871.44,1895.58,840931331
2016-02-17,1898.8,1930.68,1898.8,1926.82,818658375
2016-02-18,1927.57,1930,1915.09,1917.83,729872023
2016-02-19,1916.74,1918.78,1902.17,1917.78,862747420
2016-02-22,1924.44,1946.7,1924.44,1945.5,663513182
2016-02-23,1942.38,1942.38,1919.44,1921.27,626779261
2016-02-24,1917.56,1932.08,1891,1929.8,662291401
2016-02-25,1931.87,1951.83,1925.41,1951.7,590047710
2016-02-26,1954.95,1962.96,1945.78,1948.05,669969843
2016-02-29,1947.13,1958.27,1931.81,1932.23,849487499
2016-03-01,1937.09,1978.35,1937.09,1978.35,742687074
2016-03-02,1976.6,1986.51,1968.8,1986.45,680819457
2016-03-03,1985.6,1993.69,1977.37,1993.4,667829915
2016-03-04,1994.01,2009.13,1986.77,1999.99,782584654
2016-03-07,1996.11,2006.12,1989.38,2001.76,654455151
2016-03-08,1996.88,1996.88,1977.43,1979.26,699806748
2016-03-09,1981.44,1992.69,1979.84,1989.26,608081877
2016-03-10,1990.97,2005.08,1969.25,1989.57,665444879
2016-03-11,1994.71,2022.37,1994.71,2022.19,641712853
2016-03-14,2019.27,2024.57,2012.05,2019.64,546841030
2016-03-15,2015.27,2015.94,2005.23,2015.93,529503338
2016-03-16,2014.24,2032.02,2010.04,2027.22,617671853
2016-03-17,2026.9,2046.24,2022.16,2040.59,661763816
2016-03-18,2041.16,2052.36,2041.16,2049.58,669416338
2016-03-21,2047.88,2053.91,2043.14,2051.6,535577137
2016-03-22,2048.64,2056.6,2040.57,2049.8,555485645
2016-03-23,2048.55,2048.55,2034.86,2036.71,542134056
2016-03-24,2032.48,2036.04,2022.49,2035.94,600131213
2016-03-28,2037.89,2042.67,2031.96,2037.05,460627846
2016-03-29,2035.75,2055.91,2028.31,2055.01,571883048
2016-03-30,2058.27,2072.21,2058.27,2063.95,511410521
2016-03-31,2063.77,2067.92,2057.46,2059.74,636510226
2016-04-01,2056.62,2075.07,2043.98,2072.78,655021615
2016-04-04,2073.19,2074.02,2062.57,2066.13,532705295
2016-04-05,2062.5,2062.5,2042.56,2045.17,666163177
