,dates,headline,section_name,abstract,Date_format,Tag
3,2016-01-17T21:16:58+0000,Zika Warning Spotlights Latin America’s Fight Against Mosquito-Borne Diseases,World,The C.D.C. advisory for pregnant women to avoid more than a dozen Latin American countries comes only a few months before the start of the Olympic Games in Brazil.,1/17/2016,
4,2016-04-05T13:30:19+0000,"In a Remote Ugandan Lab, Encounters With the Zika Virus and Mosquitoes Decades Ago",World,"A forested site where science and exploration overlapped in the discovery of numerous viruses is today a little patch of forest, but research into the Zika virus continues.",4/5/2016,
5,2016-02-04T01:58:31+0000,Birth Defects in Brazil May Be Overreported Amid Zika Fears,World,"After many false alarms, the government is considering tightening the guidelines establishing when health care providers should report infants born with abnormally small heads.",2/4/2016,
6,2016-02-04T18:00:17+0000,"In Australia, a New Tactic in Battle Against Zika Virus: Mosquito Breeding",World,Residents in parts of Queensland are taking part in trials to breed mosquitoes from eggs injected with a bacteria that blocks the pests from carrying diseases like Zika and dengue.,2/4/2016,
7,2015-12-30T10:00:21+0000,Alarm Spreads in Brazil Over a Virus and a Surge in Malformed Infants,World,"The mosquito-borne Zika virus, suspected of fueling a spike in microcephaly, is at the core of one of the most alarming Brazilian health crises in decades.",12/30/2015,
8,2016-02-19T04:38:11+0000,Pope Speaks on Contraception,World,"Pope Francis, while flying back to the Vatican from Mexico, discussed contraception and the spread of the Zika virus.",2/19/2016,
9,2016-02-02T16:55:22+0000,W.H.O. Sets Up Global Response Unit,World,"The World Health Organization says it has set up a unit to fight the microcephaly outbreak in Latin America linked to the Zika virus, using the lessons learned from the Ebola crisis.",2/2/2016,1
0,2016-02-17T19:29:34+0000,Argentina Battles Major Outbreak of Dengue as Mosquito Population Swells,World,"The authorities said that two provinces had been hit especially hard by dengue, and that the outbreak — the worst in seven years — had not yet peaked.",2/17/2016,
1,2016-03-09T08:00:40+0000,"After Living Brazil’s Dream, Family Confronts Microcephaly and Economic Crisis",World,"In the wake of the Zika epidemic, hundreds of families in northeastern Brazil are facing the prospect of raising a disabled child in poverty.",3/9/2016,
2,2016-02-18T17:00:26+0000,Pope Francis Suggests Donald Trump Is ‘Not Christian’,World,"The pope, inserting himself into the presidential race, pointed to the harshness of Mr. Trump’s campaign promises to deport more immigrants.",2/18/2016,
3,2016-06-22T10:20:58+0000,Jaguar Shot Dead After Olympic Torch Event in Brazil,World,"The animal, who had apparently escaped a zoo enclosure, was shot after she moved toward a soldier, the military said.",6/22/2016,
4,2016-08-16T04:09:47+0000,"Vaccine Shortage Could Spread African Yellow Fever Outbreak Abroad, Charity Warns",World,"A deadly epidemic that has afflicted southern and central Africa this year could soon spread worldwide, exacerbated by a severe vaccine shortage, the charity Save the Children says.",8/16/2016,
5,2016-04-19T01:19:49+0000,"Vote to Impeach Rousseff Prompted Cheers, But Won’t End Turmoil in Brazil",World,"On Monday, Brazilians awoke to the sobering reality that the political and economic turmoil that has consumed their country for the past two years is far from over.",4/19/2016,
6,2017-06-07T20:58:52+0000,State Dept. Voices Concern for American Held in Republic of Congo,World,"The naturalized citizen, Marcel Pika, moved back to his home country in 2007 and was detained in the wake of unrest after an election in 2016.",6/7/2017,
7,2017-01-14T03:30:54+0000,Yellow Fever Outbreak in Brazil Prompts a State of Emergency,World,"The outbreak in Minas Gerais State in southeastern Brazil appears to have killed at least 10 people, and 133 suspected cases are being investigated.",1/14/2017,
8,2016-02-23T01:38:28+0000,Consultant to Politicians in Brazil Faces Arrest,World,"João Santana, a campaign strategist for the nation’s last two presidents, has been accused in the widening Petrobras corruption scandal.",2/23/2016,
9,2016-08-13T19:35:34+0000,Olympic Revelry Distracts Brazil (Momentarily) From Its Woes,World,"National sentiment has shifted in favor of the Games, which have impressed even some critics amid a Zika epidemic, a recession and political turmoil.",8/13/2016,
