Date,SP500_Close,XLY_Close,XLP_Close,XLE_Close,XLF_Close,XLV_Close,XLI_Close,XLB_Close,XLK_Close,XLU_Close,sp500_CHANGE,SP_rank
7/11/2016,2137.16,81.09,55.7,67.84,18.72,73.49,57.59,47.19,44.39,52.5,0.34%,435
7/12/2016,2152.14,81.41,55.4,69.52,18.95,73.85,58.12,48.05,44.75,51.78,0.70%,516
7/13/2016,2152.43,81.01,55.71,68.92,18.95,73.82,58.26,48.18,44.76,52.19,0.01%,294
7/14/2016,2163.75,81.34,55.7,69.27,19.13,74.14,58.7,48.61,45.05,51.85,0.53%,486
7/15/2016,2161.74,80.98,55.7,69.23,19.1,74.08,58.69,48.78,45.01,52,-0.09%,237
7/18/2016,2166.89,81.29,55.64,69.28,19.16,74.11,58.64,49.1,45.31,52.15,0.24%,412
7/19/2016,2163.78,81.14,55.6,68.89,19.17,73.95,58.67,48.81,45.21,52.06,-0.14%,202
7/20/2016,2173.02,81.48,55.4,68.79,19.21,74.62,58.78,48.83,45.8,51.76,0.43%,456
7/21/2016,2165.17,81.26,55.24,68.11,19.11,74.84,58.18,48.53,45.56,52.07,-0.36%,116
7/22/2016,2175.03,81.6,55.5,68.32,19.23,74.99,58.29,48.66,45.83,52.76,0.46%,466
7/25/2016,2168.48,81.73,55.44,66.96,19.19,74.91,57.98,48.58,45.77,52.67,-0.30%,134
7/26/2016,2169.18,81.63,55.01,67.35,19.21,74.78,58.46,48.95,45.87,52.21,0.03%,302
7/27/2016,2166.58,81.38,54.19,66.69,19.2,75.12,58.23,49.01,46.25,51.61,-0.12%,218
7/28/2016,2170.06,81.53,54.43,66.7,19.24,75.05,58.21,48.94,46.28,51.81,0.16%,373
7/29/2016,2173.6,81.62,54.7,67.38,19.21,75.2,58.04,48.69,46.45,52.12,0.16%,373
8/1/2016,2170.84,81.75,54.76,65.16,19.16,75.68,57.97,48.42,46.54,52.15,-0.13%,210
8/2/2016,2157.03,80.53,54.68,65.75,18.99,75.39,57.43,48.29,46.19,51.81,-0.64%,84
8/3/2016,2163.79,80.76,54.38,67.02,19.19,75.18,57.71,48.41,46.35,51.5,0.31%,426
8/4/2016,2164.25,80.72,54.5,66.92,19.14,75.07,57.73,48.61,46.6,51.47,0.02%,296
8/5/2016,2182.87,81.57,54.59,67.53,19.51,75.25,58.31,48.77,47.05,50.73,0.86%,536
8/8/2016,2180.89,81.3,54.53,68.43,19.53,74.61,58.39,48.87,47.04,50.71,-0.09%,237
8/9/2016,2181.74,81.06,54.7,68.07,19.55,74.79,58.37,48.72,47.14,50.7,0.04%,311
8/10/2016,2175.49,81.23,54.9,67.33,19.39,74.54,58.34,48.73,46.99,50.71,-0.29%,141
8/11/2016,2185.79,82.04,54.9,68.32,19.43,74.97,58.72,48.94,47.16,50.83,0.47%,471
8/12/2016,2184.05,82,55.09,68.7,19.38,74.78,58.56,48.42,47.11,50.9,-0.08%,245
8/15/2016,2190.15,82.16,54.95,69.25,19.51,74.91,58.95,48.91,47.34,50.12,0.28%,418
8/16/2016,2178.15,81.69,54.71,69.36,19.46,74.24,58.69,48.65,46.99,49.53,-0.55%,94
8/17/2016,2182.22,81.5,54.86,69.57,19.52,74.39,58.86,48.61,46.97,50.27,0.19%,387
8/18/2016,2187.02,81.45,55.05,71,19.51,74.42,59.04,48.92,46.99,50.89,0.22%,403
8/19/2016,2183.87,81.5,54.92,70.41,19.5,74.36,59.02,48.99,47.02,50.27,-0.14%,202
8/22/2016,2182.64,81.42,55,69.6,19.5,74.51,58.97,48.92,47.02,50.4,-0.06%,256
8/23/2016,2186.9,81.83,54.89,70.09,19.52,74.58,59.02,49.34,47.19,50.18,0.20%,394
8/24/2016,2175.44,81.44,54.8,69.81,19.51,73.41,58.84,48.77,46.93,50.16,-0.52%,97
8/25/2016,2172.47,81.17,54.59,69.62,19.55,72.79,58.83,49.01,47.03,50.19,-0.14%,202
8/26/2016,2169.04,80.94,54.31,69.38,19.58,73.07,58.66,48.73,47.05,49.15,-0.16%,195
8/29/2016,2180.38,81.22,54.63,69.85,19.75,73.23,59.08,49.17,47.23,49.55,0.52%,481
8/30/2016,2176.12,80.77,54.31,69.61,19.93,72.98,58.92,49.05,47.07,49.03,-0.20%,176
8/31/2016,2170.95,80.56,54.38,68.51,19.94,72.76,58.59,48.56,46.99,49.23,-0.24%,157
9/1/2016,2170.86,80.72,54.4,68.31,19.86,72.57,58.64,48.76,47.14,48.98,0.00%,287
9/2/2016,2179.98,80.88,54.82,69.08,19.95,72.65,58.93,49.25,47.35,49.63,0.42%,455
9/6/2016,2186.48,81.03,54.94,70.12,19.92,72.91,58.76,49.14,47.59,50.17,0.30%,424
9/7/2016,2186.16,81.07,54.46,70.52,19.91,72.91,58.83,49.07,47.71,50.18,-0.01%,281
9/8/2016,2181.3,80.37,54.16,71.84,19.9,72.97,58.78,48.86,47.32,50.35,-0.22%,164
9/9/2016,2127.81,78.43,52.69,69.7,19.52,71.51,57.12,47.44,46.16,48.46,-2.45%,7
9/12/2016,2159.04,79.53,53.68,70.39,19.74,72.57,57.85,47.89,46.93,49.32,1.47%,582
9/13/2016,2127.02,78.4,53.02,68.38,19.39,71.6,57,47,46.59,48.64,-1.48%,25
9/14/2016,2125.77,78.41,52.86,67.57,19.34,71.6,56.95,46.89,46.81,48.83,-0.06%,256
9/15/2016,2147.26,78.98,53.29,68.41,19.46,72.34,57.4,47.19,47.58,49.2,1.01%,550
9/16/2016,2139.16,78.51,52.79,67.45,19.18,72.11,56.61,46.76,47.21,49.26,-0.38%,112
9/19/2016,2139.12,78.45,52.68,67.41,19.31,71.85,56.86,46.83,47.12,49.75,0.00%,287
9/20/2016,2139.76,78.51,52.82,66.92,19.32,72.07,56.91,46.69,47.09,49.66,0.03%,302
9/21/2016,2163.12,79.27,53.11,68.47,19.44,72.79,57.65,47.4,47.62,50.67,1.09%,558
9/22/2016,2177.18,79.85,53.58,68.55,19.48,73.34,58.06,47.55,47.91,50.98,0.65%,509
9/23/2016,2164.69,79.67,53.34,67.64,19.38,73.11,57.72,47.31,47.49,50.94,-0.57%,92
9/26/2016,2146.1,78.79,52.89,67.34,19.07,72.26,57.47,47.09,47.21,50.81,-0.86%,58
9/27/2016,2159.93,79.59,53.11,66.89,19.22,72.77,57.87,47.23,47.73,50.15,0.64%,507
9/28/2016,2171.37,79.81,53.2,69.78,19.31,72.66,58.32,47.77,47.82,50.08,0.53%,486
9/29/2016,2151.13,79.4,52.68,69.66,19.04,71.38,57.86,47.4,47.53,49.33,-0.93%,54
9/30/2016,2168.27,80.04,53.21,70.61,19.3,72.11,58.38,47.75,47.78,48.99,0.80%,529
10/3/2016,2161.2,79.99,52.87,70.56,19.21,72.05,58.43,47.69,47.64,48.3,-0.33%,125
10/4/2016,2150.49,79.71,52.42,69.84,19.29,71.91,57.94,47.04,47.47,47.29,-0.50%,101
10/5/2016,2159.73,80.04,52.37,70.91,19.6,72.19,58.31,47.36,47.64,47.19,0.43%,456
10/6/2016,2160.77,80.1,52.47,71.02,19.63,71.92,58.31,47.75,47.75,47.18,0.05%,316
10/7/2016,2153.74,79.74,52.33,70.61,19.62,71.87,57.56,46.86,47.62,47.12,-0.33%,125
10/10/2016,2163.66,79.87,52.33,71.72,19.72,72.2,57.62,47.14,47.95,47.51,0.46%,466
10/11/2016,2136.73,78.9,52.06,70.9,19.54,70.39,57.02,46.5,47.41,46.97,-1.24%,34
10/12/2016,2139.18,79.27,52.35,70.6,19.52,70.06,57.13,46.41,47.49,47.43,0.11%,349
10/13/2016,2132.55,78.98,52.36,70.21,19.33,70.09,57.11,46.17,47.19,48.02,-0.31%,131
10/14/2016,2132.98,78.89,52.37,69.8,19.42,69.62,57.23,46.32,47.37,47.75,0.02%,296
10/17/2016,2126.5,78.24,52.12,69.46,19.33,69.39,57.08,46.36,47.27,48.01,-0.30%,134
10/18/2016,2139.6,78.76,52.28,69.74,19.49,70.22,57.2,46.78,47.53,48.42,0.62%,505
10/19/2016,2144.29,79.11,51.98,70.73,19.66,69.96,57.38,47.12,47.62,48.31,0.22%,403
10/20/2016,2141.34,78.96,51.95,70.65,19.66,70.29,57.07,47.08,47.4,48.28,-0.14%,202
10/21/2016,2141.16,79.59,52.23,70.19,19.65,69.71,56.99,47.06,47.53,48,-0.01%,281
10/24/2016,2151.33,80.16,52.57,69.98,19.71,69.58,57.1,47.17,47.99,48.18,0.47%,471
10/25/2016,2143.16,79.22,52.76,69.66,19.69,69.38,56.95,46.74,47.82,48.48,-0.38%,112
10/26/2016,2139.43,78.88,52.69,69.82,19.81,68.96,57.15,46.67,47.55,48.6,-0.17%,190
