Disease,Date,V_Close,V_Volume,Index_H/L,Bu/Be,Volatility,Signal
ZIKA,2016-04-01,L,L,1,0.05358854564283533,0.05358854564283533,N
ZIKA,2016-04-04,L,H,2,0.06121977677180368,0.12243955354360736,N
ZIKA,2016-04-05,H,L,3,1.0936120026618257,3.280836007985477,N
ZIKA,2016-04-06,H,L,3,-0.7262319278881546,-2.178695783664464,N
ZIKA,2016-04-07,H,L,3,1.2344814824196249,3.7034444472588746,N
ZIKA,2016-04-08,H,L,3,-0.6323003101708635,-1.8969009305125906,N
ZIKA,2016-04-11,L,L,1,-0.12877737022868319,-0.12877737022868319,N
ZIKA,2016-04-12,H,L,3,-0.6902328789512358,-2.0706986368537073,N
ZIKA,2016-04-13,L,L,1,0.35133737462278436,0.35133737462278436,N
ZIKA,2016-04-14,L,H,2,-0.4794915935724897,-0.9589831871449794,N
ZIKA,2016-04-15,H,L,3,0.8565387296015192,2.5696161888045577,N
ZIKA,2016-04-18,L,L,1,-0.4322163924698086,-0.4322163924698086,N
ZIKA,2016-04-19,L,L,1,-0.3122412658935647,-0.3122412658935647,N
ZIKA,2016-04-20,H,H,4,-1.1000665133720111,-4.4002660534880444,N
ZIKA,2016-04-21,L,L,1,-0.5947821399391873,-0.5947821399391873,N
ZIKA,2016-04-22,L,H,2,-0.25643095413113715,-0.5128619082622743,N
ZIKA,2016-04-25,L,L,1,-0.41290043305625135,-0.41290043305625135,N
ZIKA,2016-04-26,L,H,2,-0.4537291644570285,-0.907458328914057,N
ZIKA,2016-04-27,H,L,3,0.998038506876231,2.994115520628693,N
ZIKA,2016-04-28,L,L,1,0.4123863861691168,0.4123863861691168,N
ZIKA,2016-04-29,L,L,1,0.25571638305192934,0.25571638305192934,N
ZIKA,2016-05-02,H,H,4,-1.2057543203836008,-4.823017281534403,N
ZIKA,2016-05-03,H,L,3,1.259578313253007,3.778734939759021,N
ZIKA,2016-05-04,L,L,1,0.5485637320555181,0.5485637320555181,N
ZIKA,2016-05-05,H,L,3,0.6685077660097516,2.0055232980292548,N
ZIKA,2016-05-06,L,L,1,-0.42744677610284665,-0.42744677610284665,N
ZIKA,2016-05-09,L,L,1,0.31429973892602714,0.31429973892602714,N
ZIKA,2016-05-10,L,L,1,0.0076371694357479925,0.0076371694357479925,N
ZIKA,2016-05-11,L,H,2,0.5654512327291084,1.1309024654582167,N
ZIKA,2016-05-12,L,H,2,-0.4558969648514877,-0.9117939297029753,N
ZIKA,2016-05-13,H,H,4,0.9693947396914204,3.8775789587656817,N
ZIKA,2016-05-16,H,H,4,-0.8618082919701342,-3.447233167880537,N
ZIKA,2016-05-17,L,L,1,0.16776117254662104,0.16776117254662104,N
ZIKA,2016-05-18,H,H,4,-1.4235657626098908,-5.694263050439563,N
ZIKA,2016-05-19,L,H,2,0.4324642662574707,0.8649285325149414,N
ZIKA,2016-05-20,L,L,1,0.07688658031017592,0.07688658031017592,N
ZIKA,2016-05-23,L,L,1,0.2228259803070065,0.2228259803070065,N
ZIKA,2016-05-24,L,L,1,-0.4446496405297373,-0.4446496405297373,N
ZIKA,2016-05-25,L,L,1,-0.3773340491503796,-0.3773340491503796,N
ZIKA,2016-05-26,L,L,1,0.5178928854407072,0.5178928854407072,N
ZIKA,2016-05-27,L,L,1,-0.14609890051283658,-0.14609890051283658,N
ZIKA,2016-05-31,L,H,2,0.2387354529656438,0.4774709059312876,N
ZIKA,2016-06-01,L,L,1,0.19974953289028097,0.19974953289028097,N
ZIKA,2016-06-02,H,H,4,0.7207506627933125,2.88300265117325,N
ZIKA,2016-06-03,H,H,4,1.42356500134313,5.69426000537252,N
ZIKA,2016-06-06,H,L,3,-0.7430691508840126,-2.229207452652038,N
ZIKA,2016-06-07,L,H,2,0.24197896846722688,0.48395793693445377,N
ZIKA,2016-06-08,L,L,1,0.5356110521365531,0.5356110521365531,N
ZIKA,2016-06-09,H,L,3,0.645307251585292,1.935921754755876,N
ZIKA,2016-06-10,L,L,1,0.4845999968463355,0.4845999968463355,N
ZIKA,2016-06-13,L,L,1,0.445174361516365,0.445174361516365,N
ZIKA,2016-06-14,L,L,1,-0.07387058376900901,-0.07387058376900901,N
ZIKA,2016-06-15,L,L,1,0.3843908958041986,0.3843908958041986,N
ZIKA,2016-06-16,L,L,1,0.486011771295769,0.486011771295769,N
ZIKA,2016-06-17,L,L,1,-0.6228975204434883,-0.6228975204434883,N
ZIKA,2016-06-20,H,L,3,-1.0692404611072903,-3.207721383321871,N
ZIKA,2016-06-21,L,L,1,-0.4621429498466889,-0.4621429498466889,N
ZIKA,2016-06-22,L,L,1,0.16474615211341526,0.16474615211341526,N
ZIKA,2016-06-23,H,H,4,-1.1438390080681482,-4.575356032272593,N
ZIKA,2016-06-24,H,H,4,2.684718375095474,10.738873500381896,N
ZIKA,2016-06-27,H,L,3,2.496685097191653,7.49005529157496,N
ZIKA,2016-06-28,L,L,1,0.2083847123429683,0.2083847123429683,N
ZIKA,2016-06-29,H,L,3,-0.7672507860981503,-2.301752358294451,N
ZIKA,2016-06-30,L,L,1,0.36852012694934544,0.36852012694934544,N
ZIKA,2016-07-01,H,L,3,1.2023132268817793,3.606939680645338,N
ZIKA,2016-07-05,H,H,4,1.2520416250672906,5.008166500269162,N
ZIKA,2016-07-06,L,H,2,0.16159347767028542,0.32318695534057085,N
ZIKA,2016-07-07,L,L,1,-0.007011083151109432,-0.007011083151109432,N
ZIKA,2016-07-08,H,L,3,0.7365857438810464,2.209757231643139,N
ZIKA,2016-07-11,H,L,3,-0.8774442530315896,-2.6323327590947687,N
ZIKA,2016-07-12,H,H,4,-1.6439483390177867,-6.575793356071147,N
ZIKA,2016-07-13,H,H,4,1.1785671428571343,4.714268571428537,N
ZIKA,2016-07-14,H,L,3,-1.4542873895215358,-4.362862168564607,N
ZIKA,2016-07-15,H,L,3,-0.8596583096112442,-2.5789749288337327,N
ZIKA,2016-07-18,L,H,2,-0.09394031428526795,-0.1878806285705359,N
ZIKA,2016-07-19,L,H,2,0.5641530653895721,1.1283061307791442,N
ZIKA,2016-07-20,L,L,1,-0.5466010056545234,-0.5466010056545234,N
ZIKA,2016-07-21,L,H,2,0.20248698439750967,0.40497396879501935,N
ZIKA,2016-07-22,L,H,2,0.1732137727080474,0.3464275454160948,N
ZIKA,2016-07-25,L,L,1,-0.07205043071937256,-0.07205043071937256,N
ZIKA,2016-07-26,L,L,1,0.15861644178694068,0.15861644178694068,N
ZIKA,2016-07-27,H,H,4,1.2453181866587615,4.981272746635046,N
ZIKA,2016-07-28,L,L,1,-0.18485247855751785,-0.18485247855751785,N
ZIKA,2016-07-29,H,L,3,0.8333919854220051,2.5001759562660153,N
ZIKA,2016-08-01,H,L,3,-1.2644772713263253,-3.7934318139789758,N
ZIKA,2016-08-02,H,L,3,-1.0302654065889483,-3.090796219766845,N
ZIKA,2016-08-03,L,H,2,0.057834163842485076,0.11566832768497015,N
ZIKA,2016-08-04,H,L,3,0.7513857163099047,2.254157148929714,N
ZIKA,2016-08-05,H,H,4,-1.0397970822473401,-4.1591883289893605,N
ZIKA,2016-08-08,L,L,1,0.18840217391304925,0.18840217391304925,N
ZIKA,2016-08-09,H,L,3,0.9836540208177924,2.950962062453377,N
ZIKA,2016-08-10,L,L,1,0.3867705338336469,0.3867705338336469,N
ZIKA,2016-08-11,H,L,3,-0.8918378740913835,-2.6755136222741505,N
ZIKA,2016-08-12,H,L,3,0.8422705106249984,2.526811531874995,N
ZIKA,2016-08-15,H,H,4,-0.9423236587332462,-3.7692946349329848,N
ZIKA,2016-08-16,L,L,1,-0.2666445757655289,-0.2666445757655289,N
ZIKA,2016-08-17,L,L,1,0.5997557670334386,0.5997557670334386,N
ZIKA,2016-08-18,L,L,1,0.1580239896708413,0.1580239896708413,N
ZIKA,2016-08-19,L,H,2,-0.5235190687963187,-1.0470381375926374,N
ZIKA,2016-08-22,H,L,3,0.8434849260731347,2.5304547782194042,N
ZIKA,2016-08-23,L,L,1,0.1072304794384138,0.1072304794384138,N
ZIKA,2016-08-24,L,L,1,-0.2356652162798345,-0.2356652162798345,N
ZIKA,2016-08-25,L,L,1,-0.3793836874599221,-0.3793836874599221,N
ZIKA,2016-08-26,L,H,2,-0.582019840224457,-1.164039680448914,N
ZIKA,2016-08-29,H,H,4,1.3370959718336461,5.348383887334585,N
ZIKA,2016-08-30,L,L,1,-0.3851429805577511,-0.3851429805577511,N
ZIKA,2016-08-31,L,H,2,0.14319252728849374,0.2863850545769875,N
ZIKA,2016-09-01,L,L,1,-0.07148852761450497,-0.07148852761450497,N
ZIKA,2016-09-02,H,L,3,-0.8156249319417608,-2.4468747958252823,N
ZIKA,2016-09-06,H,L,3,0.7285536778275148,2.1856610334825444,N
ZIKA,2016-09-07,L,H,2,-0.0716170156947693,-0.1432340313895386,N
ZIKA,2016-09-08,H,H,4,-1.2541207451543968,-5.016482980617587,N
