,sentiment,totalScores,positive,negative
2018-03-11 00:00:00,0.07040623853211009,545,0.79,0.21
2018-03-12 00:00:00,0.056365030467163166,2954,0.75,0.25
2018-03-13 00:00:00,-0.026455524224557807,3901,0.71,0.29
2018-03-14 00:00:00,-0.011926154212279867,4202,0.72,0.28
2018-03-15 00:00:00,-0.011392568617296739,3862,0.7,0.3
2018-03-16 00:00:00,0.017029572225666458,3226,0.74,0.26
2018-03-17 00:00:00,0.054080419580419585,429,0.85,0.15
2018-03-18 00:00:00,0.05074315352697096,482,0.82,0.18
2018-03-19 00:00:00,0.013648112087390168,4211,0.71,0.29
2018-03-20 00:00:00,-0.04356192498230715,2826,0.68,0.32
2018-03-21 00:00:00,-0.002320592054011945,3851,0.74,0.26
2018-03-22 00:00:00,-0.011603198624247635,5815,0.72,0.28
2018-03-23 00:00:00,-0.026861235532842326,6653,0.71,0.29
2018-03-24 00:00:00,-0.01108782122905028,895,0.72,0.28
2018-03-25 00:00:00,0.026429971988795518,1071,0.76,0.24
2018-03-26 00:00:00,0.015731594143122293,4849,0.7,0.3
2018-03-27 00:00:00,-0.03659002442996743,4912,0.69,0.31
2018-03-28 00:00:00,-0.030276808629347216,5377,0.69,0.31
2018-03-29 00:00:00,0.0015415196743554954,3685,0.72,0.28
2018-03-30 00:00:00,0.07510221238938053,452,0.82,0.18
2018-03-31 00:00:00,0.04453533834586466,266,0.81,0.19
2018-04-01 00:00:00,-0.028425412541254125,606,0.76,0.24
2018-04-02 00:00:00,-0.017749330628803246,4930,0.71,0.29
2018-04-03 00:00:00,0.0017180977542932629,4542,0.73,0.27
2018-04-04 00:00:00,0.01742684521955777,6422,0.73,0.27
2018-04-05 00:00:00,0.012326915477497254,4555,0.74,0.26
2018-04-06 00:00:00,-0.009483463159238922,7831,0.74,0.26
2018-04-07 00:00:00,-0.010972494887525563,978,0.75,0.25
2018-04-08 00:00:00,0.008077903225806453,1240,0.77,0.23
2018-04-09 00:00:00,0.0034908033033033033,5328,0.73,0.27
2018-04-10 00:00:00,0.008896514129967007,6971,0.75,0.25
2018-04-11 00:00:00,-0.02123215692992976,5837,0.74,0.26
2018-04-12 00:00:00,0.012931106264869152,5044,0.75,0.25
2018-04-13 00:00:00,-0.02630434426229508,4880,0.71,0.29
2018-04-14 00:00:00,0.018584254278728608,2045,0.83,0.17
2018-04-15 00:00:00,-0.01971158113730929,1442,0.75,0.25
2018-04-16 00:00:00,-0.04967799065420561,4280,0.69,0.31
2018-04-17 00:00:00,-0.0242775399543379,3504,0.69,0.31
2018-04-18 00:00:00,-0.028435209235209237,3465,0.7,0.3
2018-04-19 00:00:00,-0.019014152751163426,3653,0.7,0.3
