Disease,Date,V_Close,V_Volume,Index_H/L,Bu/Be,Volatility,Death_H/M/L,Illness_H/M/L,News_H/M/L,Signal
ZIKA,2017-01-03,H,L,3,0.7845999381023594,2.353799814307078,L,L,L,N
ZIKA,2017-01-04,L,L,1,0.35303702043054663,0.35303702043054663,L,L,L,N
ZIKA,2017-01-05,H,H,4,1.55150729251754,6.20602917007016,L,L,L,N
ZIKA,2017-01-06,H,L,3,-0.7372552720331327,-2.211765816099398,L,L,L,N
ZIKA,2017-01-09,H,L,3,0.8232644295302016,2.469793288590605,L,L,L,N
ZIKA,2017-01-10,L,L,1,0.4260264564840188,0.4260264564840188,L,L,L,N
ZIKA,2017-01-11,L,H,2,0.3093221332864049,0.6186442665728098,L,L,L,N
ZIKA,2017-01-12,L,L,1,0.3612370044052904,0.3612370044052904,L,L,L,N
ZIKA,2017-01-13,L,L,1,0.26336141643887867,0.26336141643887867,L,L,L,N
ZIKA,2017-01-17,H,L,3,1.4359504547408308,4.3078513642224925,L,L,L,N
ZIKA,2017-01-18,H,L,3,-0.8459171488289563,-2.537751446486869,L,L,L,N
ZIKA,2017-01-19,L,L,1,-0.08706015268407086,-0.08706015268407086,L,L,L,N
ZIKA,2017-01-20,L,H,2,0.243971427480294,0.487942854960588,L,L,L,N
ZIKA,2017-01-23,L,H,2,0.6431968541539268,1.2863937083078536,L,L,L,N
ZIKA,2017-01-24,L,L,1,-0.4490923184291229,-0.4490923184291229,L,L,L,N
ZIKA,2017-01-25,H,L,3,-0.824149409841668,-2.472448229525004,L,L,L,N
ZIKA,2017-01-26,H,L,3,-0.9272200839748002,-2.7816602519244005,L,L,L,N
ZIKA,2017-01-27,L,L,1,0.20306904109006485,0.20306904109006485,L,L,L,N
ZIKA,2017-01-30,L,L,1,0.42294740369983597,0.42294740369983597,L,L,L,N
ZIKA,2017-01-31,H,L,3,1.3863314785791836,4.158994435737551,L,L,L,N
ZIKA,2017-02-01,L,L,1,-0.3029043625381922,-0.3029043625381922,L,L,L,N
ZIKA,2017-02-02,L,L,1,0.5555547019675755,0.5555547019675755,L,L,L,N
ZIKA,2017-02-03,L,L,1,0.25034617577162077,0.25034617577162077,L,L,L,N
ZIKA,2017-02-06,H,L,3,1.3519332132592599,4.05579963977778,L,L,L,N
ZIKA,2017-02-07,L,L,1,-0.2039065472533519,-0.2039065472533519,L,L,L,N
ZIKA,2017-02-08,L,L,1,0.6214907255362778,0.6214907255362778,L,L,L,N
ZIKA,2017-02-09,H,L,3,-0.7614865765041667,-2.2844597295125,L,L,L,N
ZIKA,2017-02-10,L,L,1,0.26429959703042627,0.26429959703042627,L,L,L,N
ZIKA,2017-02-13,H,L,3,-0.6802678687120367,-2.04080360613611,L,L,L,N
ZIKA,2017-02-14,L,L,1,0.11129879851117241,0.11129879851117241,L,L,L,N
ZIKA,2017-02-15,L,L,1,0.4447079449243052,0.4447079449243052,L,L,L,N
ZIKA,2017-02-16,L,L,1,0.536402738264874,0.536402738264874,L,L,L,N
ZIKA,2017-02-17,L,L,1,-0.3387550755630908,-0.3387550755630908,L,L,L,N
ZIKA,2017-02-21,L,L,1,0.05948334466348015,0.05948334466348015,L,L,L,N
ZIKA,2017-02-22,L,L,1,0.13588450106156724,0.13588450106156724,L,L,L,N
ZIKA,2017-02-23,H,L,3,0.8735458952236153,2.6206376856708458,L,L,L,N
ZIKA,2017-02-24,L,L,1,0.6389734212380427,0.6389734212380427,L,L,L,N
ZIKA,2017-02-27,L,L,1,-0.48453969468353897,-0.48453969468353897,L,L,L,N
ZIKA,2017-02-28,L,L,1,0.09234385261054356,0.09234385261054356,L,L,L,N
ZIKA,2017-03-01,L,L,1,-0.1425857550301335,-0.1425857550301335,L,L,L,N
ZIKA,2017-03-02,H,L,3,-1.2430673818758065,-3.7292021456274194,L,L,L,N
ZIKA,2017-03-03,L,L,1,-0.05953393332992496,-0.05953393332992496,L,L,L,N
ZIKA,2017-03-06,H,H,4,-0.6722840494888249,-2.6891361979552997,L,L,L,N
ZIKA,2017-03-07,H,L,3,-0.8053478340871445,-2.4160435022614335,L,L,L,N
ZIKA,2017-03-08,L,L,1,-0.6218699310923337,-0.6218699310923337,L,L,L,N
ZIKA,2017-03-09,L,L,1,-0.5127733445641103,-0.5127733445641103,L,L,L,N
