Disease,Date,V_SP500_Close,V_SP500_Volume,SP500_Index_H/L,SP500_Bu/Be,SP500_Volatility,Death_H/M/L,Illness_H/M/L,News_H/M/L,Signal
ZIKA,2015-07-31,L,L,1,-0.22716171163267296,-0.22716171163267296,L,L,L,N
ZIKA,2015-08-03,L,L,1,-0.2756863639820639,-0.2756863639820639,L,L,L,N
ZIKA,2015-08-04,L,L,1,-0.22497187851517886,-0.22497187851517886,L,L,L,N
ZIKA,2015-08-05,L,L,1,0.3114669520188018,0.3114669520188018,L,L,L,N
ZIKA,2015-08-06,H,L,3,-0.7752971654983343,-2.325891496495003,L,L,L,N
ZIKA,2015-08-07,L,L,1,-0.2874887212271249,-0.2874887212271249,L,L,L,N
ZIKA,2015-08-10,H,L,3,1.2808232694927035,3.8424698084781106,L,L,L,N
ZIKA,2015-08-11,H,L,3,-0.9557167162504987,-2.867150148751496,L,L,L,N
ZIKA,2015-08-12,L,L,1,0.09500640573494312,0.09500640573494312,L,L,L,N
ZIKA,2015-08-13,L,L,1,-0.12751372210638712,-0.12751372210638712,L,L,L,N
ZIKA,2015-08-14,L,L,1,0.39118935964941315,0.39118935964941315,L,L,L,N
ZIKA,2015-08-17,L,L,1,0.5211470973541132,0.5211470973541132,L,L,L,N
ZIKA,2015-08-18,L,L,1,-0.26255208234241545,-0.26255208234241545,L,L,L,N
ZIKA,2015-08-19,H,L,3,-0.8254964424012301,-2.4764893272036903,L,L,L,N
ZIKA,2015-08-20,H,L,3,-2.1100110116800797,-6.330033035040239,L,L,L,N
ZIKA,2015-08-21,H,L,3,-3.1850982202944356,-9.555294660883307,L,L,L,N
ZIKA,2015-08-24,H,H,4,-3.941366590728046,-15.765466362912184,L,L,L,N
ZIKA,2015-08-25,H,H,4,-1.3522007595565322,-5.408803038226129,L,L,L,N
ZIKA,2015-08-26,H,L,3,3.903384539598753,11.710153618796259,L,L,L,N
ZIKA,2015-08-27,H,L,3,2.4297736162143035,7.289320848642911,L,L,L,N
ZIKA,2015-08-28,L,L,1,0.06087560246721413,0.06087560246721413,L,L,L,N
ZIKA,2015-08-31,H,L,3,-0.8391699809439435,-2.5175099428318304,L,L,L,N
ZIKA,2015-09-01,H,L,3,-2.9576407832956453,-8.872922349886936,L,L,L,N
ZIKA,2015-09-02,H,L,3,1.8292969668469272,5.487890900540782,L,L,L,N
ZIKA,2015-09-03,L,L,1,0.11647835144650287,0.11647835144650287,L,L,L,N
ZIKA,2015-09-04,H,L,3,-1.5329578244401953,-4.598873473320586,L,L,L,N
ZIKA,2015-09-08,H,L,3,2.5083020164270664,7.524906049281199,L,L,L,N
ZIKA,2015-09-09,H,L,3,-1.3897563229596788,-4.169268968879036,L,L,L,N
ZIKA,2015-09-10,L,L,1,0.5277955139955992,0.5277955139955992,L,L,L,N
ZIKA,2015-09-11,L,L,1,0.44870382986135215,0.44870382986135215,L,L,L,N
ZIKA,2015-09-14,L,L,1,-0.40896458529868784,-0.40896458529868784,L,L,L,N
ZIKA,2015-09-15,H,L,3,1.2831344116577714,3.8494032349733143,L,L,L,N
ZIKA,2015-09-16,H,L,3,0.8705367298757816,2.6116101896273447,L,L,L,N
ZIKA,2015-09-17,L,L,1,-0.25610055580335134,-0.25610055580335134,L,L,L,N
ZIKA,2015-09-18,H,L,3,-1.6164204602552523,-4.849261380765757,L,L,L,N
ZIKA,2015-09-21,L,L,1,0.4565813598361723,0.4565813598361723,L,L,L,N
ZIKA,2015-09-22,H,L,3,-1.231843902042229,-3.695531706126687,L,L,L,N
ZIKA,2015-09-23,L,L,1,-0.20486529334856618,-0.20486529334856618,L,L,L,N
ZIKA,2015-09-24,L,L,1,-0.33629742722152134,-0.33629742722152134,L,L,L,N
ZIKA,2015-09-25,L,L,1,-0.04657806483666649,-0.04657806483666649,L,L,L,N
ZIKA,2015-09-28,H,L,3,-2.566611782492978,-7.699835347478934,L,L,L,N
ZIKA,2015-09-29,L,L,1,0.12328818080848958,0.12328818080848958,L,L,L,N
ZIKA,2015-09-30,H,L,3,1.90755218699743,5.72265656099229,L,L,L,N
ZIKA,2015-10-01,L,L,1,0.19739274907162319,0.19739274907162319,L,L,L,N
ZIKA,2015-10-02,H,L,3,1.4315268580220586,4.294580574066176,L,L,L,N
ZIKA,2015-10-05,H,L,3,1.8289808133814311,5.486942440144293,L,L,L,N
ZIKA,2015-10-06,L,L,1,-0.3588233813945241,-0.3588233813945241,L,L,L,N
ZIKA,2015-10-07,H,L,3,0.8035678209220576,2.4107034627661728,L,L,L,N
ZIKA,2015-10-08,H,L,3,0.8818386335509576,2.645515900652873,L,L,L,N
ZIKA,2015-10-09,L,L,1,0.07251307470337309,0.07251307470337309,L,L,L,N
ZIKA,2015-10-12,L,L,1,0.12755038736604885,0.12755038736604885,L,L,L,N
ZIKA,2015-10-13,H,L,3,-0.6825414134604912,-2.0476242403814737,L,L,L,N
ZIKA,2015-10-14,L,L,1,-0.4716298429397803,-0.4716298429397803,L,L,L,N
ZIKA,2015-10-15,H,L,3,1.485277599486512,4.455832798459536,L,L,L,N
ZIKA,2015-10-16,L,L,1,0.4570474242289402,0.4570474242289402,L,L,L,N
ZIKA,2015-10-19,L,L,1,0.027052151629769483,0.027052151629769483,L,L,L,N
ZIKA,2015-10-20,L,L,1,-0.1421083170244808,-0.1421083170244808,L,L,L,N
ZIKA,2015-10-21,H,L,3,-0.5825376581296671,-1.7476129743890012,L,L,L,N
ZIKA,2015-10-22,H,L,3,1.6627537222502875,4.9882611667508625,L,L,L,N
ZIKA,2015-10-23,H,L,3,1.1030396928638497,3.309119078591549,L,L,L,N
ZIKA,2015-10-26,L,L,1,-0.19131147145990957,-0.19131147145990957,L,L,L,N
ZIKA,2015-10-27,L,L,1,-0.25540995953997614,-0.25540995953997614,L,L,L,N
ZIKA,2015-10-28,H,L,3,1.1839933394323987,3.551980018297196,L,L,L,N
ZIKA,2015-10-29,L,L,1,-0.044968545937285054,-0.044968545937285054,L,L,L,N
ZIKA,2015-10-30,L,L,1,-0.48099702786910115,-0.48099702786910115,L,L,L,N
ZIKA,2015-11-02,H,L,3,1.1873845798707316,3.562153739612195,L,L,L,N
ZIKA,2015-11-03,L,L,1,0.2728072051519481,0.2728072051519481,L,L,L,N
ZIKA,2015-11-04,L,L,1,-0.35453765540646165,-0.35453765540646165,L,L,L,N
ZIKA,2015-11-05,L,L,1,-0.11320880364932284,-0.11320880364932284,L,L,L,N
ZIKA,2015-11-06,L,L,1,-0.034763063530685034,-0.034763063530685034,L,L,L,N
ZIKA,2015-11-09,H,L,3,-0.982278963414629,-2.946836890243887,L,L,L,N
ZIKA,2015-11-10,L,L,1,0.15106466914911465,0.15106466914911465,L,L,L,N
ZIKA,2015-11-11,L,L,1,-0.32280998405164185,-0.32280998405164185,L,L,L,N
ZIKA,2015-11-12,H,L,3,-1.399036144578314,-4.197108433734941,L,L,L,N
ZIKA,2015-11-13,H,L,3,-1.1207397957936904,-3.3622193873810713,L,L,L,N
ZIKA,2015-11-16,H,L,3,1.4903313824738973,4.470994147421692,L,L,L,N
ZIKA,2015-11-17,L,L,1,-0.13393792099123392,-0.13393792099123392,L,L,L,N
ZIKA,2015-11-18,H,L,3,1.6162384658902518,4.848715397670755,L,L,L,N
ZIKA,2015-11-19,L,L,1,-0.11230670288638889,-0.11230670288638889,L,L,L,N
ZIKA,2015-11-20,L,L,1,0.38102285176147,0.38102285176147,L,L,L,N
ZIKA,2015-11-23,L,L,1,-0.12349401915593416,-0.12349401915593416,L,L,L,N
ZIKA,2015-11-24,L,L,1,0.12220896294909966,0.12220896294909966,L,L,L,N
ZIKA,2015-11-25,L,L,1,-0.01292397828771552,-0.01292397828771552,L,L,L,N
ZIKA,2015-11-27,L,L,1,0.05936223891387371,0.05936223891387371,L,L,L,N
ZIKA,2015-11-30,L,H,2,-0.4640904067250151,-0.9281808134500302,L,L,L,N
ZIKA,2015-12-01,H,L,3,1.0680586999678,3.2041760999033997,L,L,L,N
ZIKA,2015-12-02,H,L,3,-1.0995752937987158,-3.2987258813961473,L,L,L,N
ZIKA,2015-12-03,H,L,3,-1.4373578391063457,-4.312073517319037,L,L,L,N
ZIKA,2015-12-04,H,L,3,2.0525755993794137,6.157726798138241,L,L,L,N
ZIKA,2015-12-07,H,L,3,-0.698956346303703,-2.096869038911109,L,L,L,N
